iter	Passed	Remaining
0	0	24
1	0	26
2	0	27
3	1	27
4	1	27
5	1	26
6	1	25
7	2	34
8	3	39
9	4	37
10	4	35
11	4	34
12	5	33
13	5	32
14	5	31
15	5	30
16	6	29
17	6	28
18	6	27
19	6	26
20	6	26
21	7	25
22	7	24
23	7	24
24	7	23
25	8	23
26	8	22
27	8	22
28	8	21
29	9	21
30	9	21
31	9	20
32	9	20
33	10	19
34	10	19
35	10	18
36	10	18
37	11	18
38	11	17
39	11	17
40	11	17
41	12	16
42	12	16
43	12	16
44	13	16
45	13	16
46	14	15
47	14	15
48	14	15
49	15	15
50	15	15
51	16	15
52	16	14
53	16	14
54	17	13
55	17	13
56	17	13
57	17	13
58	18	12
59	18	12
60	18	11
61	19	11
62	19	11
63	19	11
64	19	10
65	20	10
66	20	10
67	20	9
68	20	9
69	21	9
70	21	8
71	21	8
72	22	8
73	22	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	23	5
80	24	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	26	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	28	0
97	28	0
98	29	0
99	29	0
